order_id,date,time,ID_Empleado,ID_Tienda
1,2015-01-01,11:38:36,1_1,1
2,2015-01-01,11:57:40,2_1,2
3,2015-01-01,12:12:28,2_1,2
4,2015-01-01,12:16:31,2_1,2
5,2015-01-01,12:21:30,2_1,2
6,2015-01-01,12:29:36,2_1,2
7,2015-01-01,12:50:37,2_1,2
8,2015-01-01,12:51:37,2_1,2
9,2015-01-01,12:52:01,2_1,2
10,2015-01-01,13:00:15,1_3,1
11,2015-01-01,13:02:59,3_1,3
12,2015-01-01,13:04:41,3_1,3
13,2015-01-01,13:11:55,2_1,2
14,2015-01-01,13:14:19,1_2,1
15,2015-01-01,13:33:00,2_3,2
16,2015-01-01,13:34:07,2_3,2
17,2015-01-01,13:53:00,2_3,2
18,2015-01-01,13:57:08,2_3,2
19,2015-01-01,13:59:09,2_3,2
20,2015-01-01,14:03:08,2_3,2
21,2015-01-01,14:14:29,2_3,2
22,2015-01-01,14:16:26,2_3,2
23,2015-01-01,14:19:03,2_3,2
24,2015-01-01,14:23:01,2_2,2
25,2015-01-01,14:44:44,2_2,2
26,2015-01-01,14:54:26,1_1,1
27,2015-01-01,15:11:17,1_1,1
28,2015-01-01,15:35:46,1_1,1
29,2015-01-01,15:41:01,1_1,1
30,2015-01-01,15:41:25,1_1,1
31,2015-01-01,15:50:18,1_1,1
32,2015-01-01,15:53:18,1_1,1
33,2015-01-01,15:54:08,1_1,1
34,2015-01-01,16:21:21,3_2,3
35,2015-01-01,16:32:04,1_3,1
36,2015-01-01,16:54:09,3_2,3
37,2015-01-01,16:56:09,3_2,3
38,2015-01-01,17:03:00,3_2,3
39,2015-01-01,17:07:23,3_2,3
40,2015-01-01,17:14:36,1_1,1
41,2015-01-01,17:15:20,1_1,1
42,2015-01-01,17:28:09,1_1,1
43,2015-01-01,17:38:34,3_2,3
44,2015-01-01,17:54:20,3_2,3
45,2015-01-01,17:55:48,3_2,3
46,2015-01-01,18:25:51,3_2,3
47,2015-01-01,18:26:34,3_2,3
48,2015-01-01,18:26:42,3_2,3
49,2015-01-01,18:33:00,3_2,3
50,2015-01-01,18:41:01,3_2,3
51,2015-01-01,18:48:28,3_2,3
52,2015-01-01,18:53:02,3_2,3
53,2015-01-01,18:54:17,1_3,1
54,2015-01-01,19:01:45,1_3,1
55,2015-01-01,19:03:19,1_3,1
56,2015-01-01,19:07:00,3_2,3
57,2015-01-01,19:10:51,3_2,3
58,2015-01-01,19:30:40,3_3,3
59,2015-01-01,19:40:08,3_3,3
60,2015-01-01,20:05:16,3_3,3
61,2015-01-01,20:08:43,3_3,3
62,2015-01-01,20:50:16,3_2,3
63,2015-01-01,20:51:42,1_3,1
64,2015-01-01,20:52:08,1_3,1
65,2015-01-01,21:16:00,1_3,1
66,2015-01-01,21:47:55,1_3,1
67,2015-01-01,22:03:40,2_3,2
68,2015-01-01,22:07:32,2_3,2
69,2015-01-01,22:12:13,3_2,3
70,2015-01-02,11:38:51,3_2,3
71,2015-01-02,11:40:50,3_1,3
72,2015-01-02,11:57:25,3_1,3
73,2015-01-02,11:58:56,3_1,3
74,2015-01-02,12:01:12,3_2,3
75,2015-01-02,12:10:15,3_2,3
76,2015-01-02,12:21:17,2_2,2
77,2015-01-02,12:22:46,3_3,3
78,2015-01-02,12:28:14,3_3,3
79,2015-01-02,12:29:11,2_2,2
80,2015-01-02,12:35:38,2_2,2
81,2015-01-02,12:40:01,2_2,2
82,2015-01-02,12:45:51,2_2,2
83,2015-01-02,12:53:27,1_2,1
84,2015-01-02,13:13:41,1_2,1
85,2015-01-02,13:34:49,3_1,3
86,2015-01-02,13:40:31,1_1,1
87,2015-01-02,14:01:02,1_1,1
88,2015-01-02,14:10:08,1_1,1
89,2015-01-02,14:30:19,1_1,1
90,2015-01-02,15:08:48,3_3,3
91,2015-01-02,15:14:43,3_3,3
92,2015-01-02,15:17:02,1_3,1
93,2015-01-02,15:29:31,1_3,1
94,2015-01-02,16:17:16,2_3,2
95,2015-01-02,16:18:04,2_3,2
96,2015-01-02,16:21:20,3_1,3
97,2015-01-02,16:45:33,1_3,1
98,2015-01-02,17:18:18,1_3,1
99,2015-01-02,17:45:42,2_2,2
100,2015-01-02,17:46:17,2_2,2
101,2015-01-02,17:51:33,3_1,3
102,2015-01-02,17:54:04,3_1,3
103,2015-01-02,18:02:09,3_1,3
104,2015-01-02,18:02:12,3_1,3
105,2015-01-02,18:12:01,1_3,1
106,2015-01-02,18:12:13,1_3,1
107,2015-01-02,18:25:09,1_3,1
108,2015-01-02,18:25:25,3_2,3
109,2015-01-02,18:27:50,1_1,1
110,2015-01-02,18:36:19,1_1,1
111,2015-01-02,18:38:01,1_1,1
112,2015-01-02,18:41:40,1_2,1
113,2015-01-02,18:50:21,1_2,1
114,2015-01-02,18:59:32,1_2,1
115,2015-01-02,19:05:17,1_2,1
116,2015-01-02,19:18:49,1_2,1
117,2015-01-02,19:23:02,2_2,2
118,2015-01-02,19:26:59,2_2,2
119,2015-01-02,19:32:29,2_2,2
120,2015-01-02,19:35:07,2_2,2
121,2015-01-02,19:38:48,1_1,1
122,2015-01-02,19:50:19,1_3,1
123,2015-01-02,20:12:09,2_2,2
124,2015-01-02,20:12:34,2_2,2
125,2015-01-02,20:31:06,2_1,2
126,2015-01-02,20:53:42,2_1,2
127,2015-01-02,20:58:23,2_1,2
128,2015-01-02,21:05:06,3_2,3
129,2015-01-02,21:13:02,3_2,3
130,2015-01-02,21:14:55,1_2,1
131,2015-01-02,21:33:10,1_2,1
132,2015-01-02,21:42:45,2_3,2
133,2015-01-02,22:00:17,2_3,2
134,2015-01-02,22:13:24,1_2,1
135,2015-01-02,22:29:34,1_2,1
136,2015-01-02,22:32:49,1_2,1
137,2015-01-03,11:34:10,1_3,1
138,2015-01-03,11:44:50,3_3,3
139,2015-01-03,11:57:39,3_3,3
140,2015-01-03,12:26:44,1_1,1
141,2015-01-03,13:16:01,1_1,1
142,2015-01-03,13:33:59,1_1,1
143,2015-01-03,13:41:36,3_1,3
144,2015-01-03,13:44:28,3_1,3
145,2015-01-03,13:53:48,2_3,2
146,2015-01-03,14:22:10,2_3,2
147,2015-01-03,14:32:51,3_1,3
148,2015-01-03,14:40:42,3_1,3
149,2015-01-03,14:48:45,2_1,2
150,2015-01-03,14:49:58,3_3,3
151,2015-01-03,15:09:34,3_3,3
152,2015-01-03,15:09:42,3_3,3
153,2015-01-03,15:16:34,3_3,3
154,2015-01-03,15:22:43,3_3,3
155,2015-01-03,15:28:59,2_3,2
156,2015-01-03,15:42:19,2_3,2
157,2015-01-03,15:43:03,1_1,1
158,2015-01-03,15:54:30,3_3,3
159,2015-01-03,15:59:22,3_3,3
160,2015-01-03,16:35:33,3_3,3
161,2015-01-03,16:43:46,1_3,1
162,2015-01-03,16:51:22,3_1,3
163,2015-01-03,16:54:54,3_1,3
164,2015-01-03,16:56:33,1_1,1
165,2015-01-03,16:57:37,3_2,3
166,2015-01-03,16:58:51,2_2,2
167,2015-01-03,17:00:49,3_2,3
168,2015-01-03,17:02:27,3_2,3
169,2015-01-03,17:15:48,3_2,3
170,2015-01-03,17:21:31,3_2,3
171,2015-01-03,17:23:03,2_1,2
172,2015-01-03,17:29:24,2_1,2
173,2015-01-03,17:35:30,2_1,2
174,2015-01-03,17:37:49,1_3,1
175,2015-01-03,17:50:51,1_3,1
176,2015-01-03,17:51:57,1_3,1
177,2015-01-03,17:54:36,1_3,1
178,2015-01-03,18:15:03,1_2,1
179,2015-01-03,18:20:14,1_2,1
180,2015-01-03,18:33:34,2_2,2
181,2015-01-03,18:49:32,2_2,2
182,2015-01-03,18:50:10,2_2,2
183,2015-01-03,18:54:55,2_2,2
184,2015-01-03,18:59:05,2_2,2
185,2015-01-03,19:08:33,2_2,2
186,2015-01-03,19:36:00,3_1,3
187,2015-01-03,19:37:12,3_1,3
188,2015-01-03,20:08:39,3_1,3
189,2015-01-03,20:12:14,2_2,2
190,2015-01-03,20:14:23,2_2,2
191,2015-01-03,20:24:50,3_2,3
192,2015-01-03,20:30:08,2_3,2
193,2015-01-03,20:55:47,2_3,2
194,2015-01-03,21:21:24,2_3,2
195,2015-01-03,21:25:20,2_3,2
196,2015-01-03,21:40:14,2_1,2
197,2015-01-03,21:47:48,2_1,2
198,2015-01-03,21:55:42,2_1,2
199,2015-01-03,22:10:38,2_1,2
200,2015-01-03,22:24:05,2_1,2
201,2015-01-03,22:29:59,2_1,2
202,2015-01-03,22:50:29,2_3,2
203,2015-01-04,11:30:48,1_2,1
204,2015-01-04,11:36:25,1_2,1
205,2015-01-04,11:43:54,1_2,1
206,2015-01-04,11:45:10,1_2,1
207,2015-01-04,12:03:58,3_1,3
208,2015-01-04,12:12:05,1_3,1
209,2015-01-04,12:29:17,1_3,1
210,2015-01-04,12:34:13,2_1,2
211,2015-01-04,12:54:20,2_1,2
212,2015-01-04,13:16:03,2_2,2
213,2015-01-04,13:20:39,2_2,2
214,2015-01-04,13:39:16,2_2,2
215,2015-01-04,13:44:49,3_2,3
216,2015-01-04,14:31:56,3_2,3
217,2015-01-04,14:35:03,3_2,3
218,2015-01-04,14:35:11,3_2,3
219,2015-01-04,14:42:01,3_2,3
220,2015-01-04,15:31:59,3_2,3
221,2015-01-04,15:33:18,3_2,3
222,2015-01-04,15:46:38,3_2,3
223,2015-01-04,16:08:20,3_2,3
224,2015-01-04,16:39:58,1_1,1
225,2015-01-04,16:41:48,1_1,1
226,2015-01-04,16:59:39,1_1,1
227,2015-01-04,17:24:39,3_1,3
228,2015-01-04,17:31:24,3_1,3
229,2015-01-04,17:37:57,2_1,2
230,2015-01-04,17:58:38,1_3,1
231,2015-01-04,18:04:18,3_2,3
232,2015-01-04,18:21:59,3_2,3
233,2015-01-04,18:26:51,2_3,2
234,2015-01-04,18:36:09,3_2,3
235,2015-01-04,18:51:30,3_2,3
236,2015-01-04,19:21:04,3_2,3
237,2015-01-04,19:27:48,3_2,3
238,2015-01-04,19:45:15,3_2,3
239,2015-01-04,19:57:52,1_1,1
240,2015-01-04,20:10:24,1_1,1
241,2015-01-04,20:11:25,3_3,3
242,2015-01-04,20:15:29,3_3,3
243,2015-01-04,20:26:17,3_3,3
244,2015-01-04,20:26:22,3_3,3
245,2015-01-04,20:28:41,3_3,3
246,2015-01-04,20:30:48,1_3,1
247,2015-01-04,20:55:29,1_3,1
248,2015-01-04,20:58:19,1_3,1
249,2015-01-04,21:06:16,3_1,3
250,2015-01-04,21:07:05,3_1,3
251,2015-01-04,21:10:05,2_1,2
252,2015-01-04,22:13:15,2_1,2
253,2015-01-04,22:16:18,2_1,2
254,2015-01-04,22:22:13,2_1,2
255,2015-01-05,11:23:35,2_1,2
256,2015-01-05,11:56:06,2_1,2
257,2015-01-05,11:59:04,2_1,2
258,2015-01-05,11:59:23,3_1,3
259,2015-01-05,12:04:25,3_1,3
260,2015-01-05,12:06:27,3_1,3
261,2015-01-05,12:38:29,3_1,3
262,2015-01-05,12:42:01,3_3,3
263,2015-01-05,12:57:22,3_3,3
264,2015-01-05,13:03:59,3_3,3
265,2015-01-05,13:04:42,3_3,3
266,2015-01-05,13:09:29,2_2,2
267,2015-01-05,13:37:50,2_2,2
268,2015-01-05,13:40:46,2_2,2
269,2015-01-05,13:49:34,2_2,2
270,2015-01-05,14:09:02,1_2,1
271,2015-01-05,14:22:19,3_1,3
272,2015-01-05,14:24:05,3_1,3
273,2015-01-05,14:28:00,3_1,3
274,2015-01-05,14:36:33,1_2,1
275,2015-01-05,14:38:14,1_2,1
276,2015-01-05,15:18:18,3_3,3
277,2015-01-05,15:41:50,3_3,3
278,2015-01-05,15:49:21,3_3,3
279,2015-01-05,16:07:03,2_2,2
280,2015-01-05,16:20:23,3_3,3
281,2015-01-05,16:33:48,3_3,3
282,2015-01-05,16:49:38,1_2,1
283,2015-01-05,16:51:43,1_2,1
284,2015-01-05,16:58:16,1_2,1
285,2015-01-05,16:58:38,1_3,1
286,2015-01-05,17:01:23,1_3,1
287,2015-01-05,17:30:09,1_3,1
288,2015-01-05,17:32:44,3_1,3
289,2015-01-05,17:36:23,3_1,3
290,2015-01-05,17:41:16,3_1,3
291,2015-01-05,17:44:39,3_1,3
292,2015-01-05,17:48:59,1_1,1
293,2015-01-05,17:58:38,2_1,2
294,2015-01-05,18:16:35,1_1,1
295,2015-01-05,18:20:12,1_1,1
296,2015-01-05,18:46:54,1_1,1
297,2015-01-05,19:02:18,1_1,1
298,2015-01-05,19:10:36,1_3,1
299,2015-01-05,19:34:31,3_2,3
300,2015-01-05,19:42:54,3_2,3
301,2015-01-05,19:45:58,2_1,2
302,2015-01-05,19:57:37,2_3,2
303,2015-01-05,20:02:51,2_3,2
304,2015-01-05,20:07:58,1_3,1
305,2015-01-05,20:35:40,1_3,1
306,2015-01-05,20:37:40,1_3,1
307,2015-01-05,21:45:38,1_3,1
308,2015-01-05,21:59:46,1_2,1
309,2015-01-06,11:39:06,1_2,1
310,2015-01-06,11:40:48,1_2,1
311,2015-01-06,11:57:27,1_2,1
312,2015-01-06,12:05:21,3_2,3
313,2015-01-06,12:09:09,1_2,1
314,2015-01-06,12:11:58,1_2,1
315,2015-01-06,12:17:40,1_2,1
316,2015-01-06,12:29:34,2_2,2
317,2015-01-06,12:31:00,2_2,2
318,2015-01-06,12:45:14,2_2,2
319,2015-01-06,12:46:22,2_1,2
320,2015-01-06,12:46:40,1_3,1
321,2015-01-06,12:56:21,1_3,1
322,2015-01-06,13:02:13,1_2,1
323,2015-01-06,13:05:33,1_2,1
324,2015-01-06,13:06:44,1_2,1
325,2015-01-06,13:07:32,2_2,2
326,2015-01-06,13:10:13,2_2,2
327,2015-01-06,13:10:54,2_2,2
328,2015-01-06,13:16:35,2_2,2
329,2015-01-06,13:22:44,3_2,3
330,2015-01-06,13:27:11,3_1,3
331,2015-01-06,13:43:30,3_1,3
332,2015-01-06,14:12:01,2_3,2
333,2015-01-06,14:16:36,1_1,1
334,2015-01-06,14:24:18,1_3,1
335,2015-01-06,14:24:47,1_3,1
336,2015-01-06,14:51:41,1_3,1
337,2015-01-06,15:03:12,1_3,1
338,2015-01-06,15:18:26,1_3,1
339,2015-01-06,15:25:13,1_3,1
340,2015-01-06,15:35:32,1_3,1
341,2015-01-06,15:35:47,1_3,1
342,2015-01-06,15:44:12,2_2,2
343,2015-01-06,15:45:37,2_2,2
344,2015-01-06,16:01:11,2_2,2
345,2015-01-06,16:01:47,2_2,2
346,2015-01-06,16:30:00,2_2,2
347,2015-01-06,16:37:17,2_2,2
348,2015-01-06,16:49:12,2_2,2
349,2015-01-06,17:25:58,2_2,2
350,2015-01-06,17:37:05,2_2,2
351,2015-01-06,17:37:29,2_2,2
352,2015-01-06,17:45:48,2_2,2
353,2015-01-06,17:59:48,2_2,2
354,2015-01-06,18:01:44,2_2,2
355,2015-01-06,18:14:45,1_3,1
356,2015-01-06,18:16:05,1_3,1
357,2015-01-06,18:27:58,1_3,1
358,2015-01-06,18:30:12,3_1,3
359,2015-01-06,18:33:08,1_2,1
360,2015-01-06,18:50:38,3_2,3
361,2015-01-06,19:12:38,3_1,3
362,2015-01-06,19:13:36,1_2,1
363,2015-01-06,19:20:31,1_2,1
364,2015-01-06,19:27:24,3_1,3
365,2015-01-06,19:37:26,3_1,3
366,2015-01-06,20:04:20,3_1,3
367,2015-01-06,20:05:12,3_1,3
368,2015-01-06,20:28:16,1_3,1
369,2015-01-06,20:30:06,1_2,1
370,2015-01-06,21:02:30,2_1,2
371,2015-01-06,21:15:20,2_1,2
372,2015-01-06,22:26:59,2_1,2
373,2015-01-07,11:45:18,2_1,2
374,2015-01-07,11:55:59,3_3,3
375,2015-01-07,11:58:36,3_3,3
376,2015-01-07,12:01:17,2_1,2
377,2015-01-07,12:03:18,2_1,2
378,2015-01-07,12:19:37,2_1,2
379,2015-01-07,12:25:37,2_1,2
380,2015-01-07,12:32:10,3_3,3
381,2015-01-07,12:33:06,3_3,3
382,2015-01-07,12:33:07,1_2,1
383,2015-01-07,12:43:59,1_2,1
384,2015-01-07,12:51:46,1_1,1
385,2015-01-07,12:54:19,2_1,2
386,2015-01-07,12:58:16,2_1,2
387,2015-01-07,13:03:14,2_1,2
388,2015-01-07,13:04:56,1_3,1
389,2015-01-07,13:10:17,2_3,2
390,2015-01-07,13:15:32,2_3,2
391,2015-01-07,13:25:31,2_3,2
392,2015-01-07,13:36:47,2_2,2
393,2015-01-07,13:48:31,2_2,2
394,2015-01-07,14:02:18,1_2,1
395,2015-01-07,14:11:08,2_1,2
396,2015-01-07,14:12:21,1_1,1
397,2015-01-07,14:31:10,1_1,1
398,2015-01-07,14:56:26,1_1,1
399,2015-01-07,15:47:49,3_3,3
400,2015-01-07,16:03:07,3_3,3
401,2015-01-07,16:08:35,3_1,3
402,2015-01-07,16:24:46,3_1,3
403,2015-01-07,16:26:10,3_1,3
404,2015-01-07,16:39:27,2_3,2
405,2015-01-07,16:44:16,2_1,2
406,2015-01-07,16:50:49,2_2,2
407,2015-01-07,16:56:42,2_2,2
408,2015-01-07,17:09:09,2_2,2
409,2015-01-07,17:15:04,2_1,2
410,2015-01-07,17:33:49,2_1,2
411,2015-01-07,17:58:09,2_1,2
412,2015-01-07,18:07:46,1_2,1
413,2015-01-07,18:11:32,1_2,1
414,2015-01-07,18:13:22,1_2,1
415,2015-01-07,18:16:23,1_2,1
416,2015-01-07,18:17:42,3_3,3
417,2015-01-07,18:24:40,3_2,3
418,2015-01-07,18:40:11,3_2,3
419,2015-01-07,19:02:31,3_1,3
420,2015-01-07,19:04:40,3_1,3
421,2015-01-07,19:21:58,1_1,1
422,2015-01-07,19:30:25,2_2,2
423,2015-01-07,19:45:07,2_2,2
424,2015-01-07,20:01:28,2_2,2
425,2015-01-07,20:21:19,1_1,1
426,2015-01-07,20:25:45,1_1,1
427,2015-01-07,21:49:00,1_2,1
